count_i, smass, sfr, m_age, l_age, AV 
1046 5.760 -3.334 0.214 -0.917 3.868
10460 5.514 -3.525 0.193 -0.498 0.228
10461 5.615 -3.105 0.101 -0.513 1.170
10462 5.692 -2.946 0.076 -0.559 0.232
10463 5.688 -3.939 0.064 -0.349 0.025
10464 5.607 -3.706 0.211 -0.379 0.471
10465 5.578 -3.941 0.238 -0.272 2.431
10466 5.656 -3.967 0.056 -0.304 0.055
10467 5.405 -3.645 0.230 -0.303 0.312
10468 5.279 -4.117 0.296 -0.177 1.498
10469 5.779 -3.903 0.144 -0.183 0.189
1047 5.483 -3.573 0.183 -0.956 1.128
10470 5.210 -4.249 0.290 -0.142 3.990
10471 5.314 -4.123 0.260 -0.193 0.074
10472 5.567 -3.996 0.158 -0.282 0.138
10473 5.199 -4.262 0.295 -0.130 3.998
10474 5.251 -4.209 0.286 -0.162 0.229
10475 5.362 -4.162 0.261 -0.166 0.038
10476 5.592 -3.571 0.137 -0.351 0.862
10477 5.674 -3.713 0.286 -0.582 3.603
10478 5.198 -4.263 0.298 -0.129 4.001
10479 5.775 -3.871 0.179 -0.153 0.401
1048 5.397 -3.722 0.243 -0.540 0.134
10480 5.209 -4.250 0.301 -0.127 3.989
10481 5.367 -3.936 0.251 -0.232 0.674
10482 5.252 -4.184 0.281 -0.159 1.499
10483 5.201 -4.256 0.311 -0.124 3.997
10484 5.303 -4.060 0.285 -0.228 3.762
10485 5.498 -3.832 0.260 -0.405 3.044
10486 5.465 -4.059 0.195 -0.262 0.173
10487 5.243 -4.130 0.280 -0.163 3.487
10488 5.360 -3.898 0.272 -0.294 0.159
10489 5.327 -4.147 0.278 -0.162 0.670
1049 5.229 -4.222 0.278 -0.155 0.148
10490 5.286 -4.162 0.283 -0.176 2.986
10491 5.500 -3.864 0.211 -0.301 0.038
10492 5.209 -4.246 0.297 -0.131 0.027
10493 5.202 -4.260 0.282 -0.141 3.994
10494 5.206 -4.251 0.286 -0.139 3.991
10495 5.220 -4.229 0.289 -0.146 0.084
10496 5.198 -4.263 0.289 -0.139 3.999
