count_i, smass, sfr, m_age, l_age, AV, E(B-V) 
1359 7.323 -2.702 -0.345 -0.599 0.802 0.3429
136 5.707 -3.699 0.161 -0.354 0.536 0.3042
1360 7.464 -3.005 0.042 -0.075 0.832 0.6302
1361 7.593 -3.076 0.046 -0.055 1.976 0.9688
1362 7.484 -3.070 0.459 0.359 0.948 0.8251
1363 7.285 -2.558 0.391 0.132 0.972 0.6003
1364 6.540 -1.784 -0.407 -0.940 0.299 0.1590
1365 7.395 -2.921 0.446 0.299 2.186 1.0844
1366 6.724 -1.856 -0.048 -0.592 0.535 0.2960
1367 6.683 -2.749 0.331 -0.552 1.782 0.6256
1368 6.617 -1.857 -0.067 -0.709 1.090 0.4368
1369 6.175 -2.238 -0.208 -0.930 0.184 0.1023
137 5.670 -3.794 0.247 -0.413 3.811 1.2092
1370 6.443 -3.395 -0.243 -0.501 0.236 0.2255
1371 6.111 -2.687 0.097 -1.002 0.355 0.1338
1372 5.635 -3.585 0.225 -0.360 0.160 0.2333
1373 6.166 -3.037 0.150 -0.327 2.948 1.1804
1374 6.406 -3.480 0.127 -0.169 3.488 1.2815
1375 7.063 -3.236 -0.081 -0.270 3.304 1.1588
1376 5.805 -2.963 0.069 -0.842 0.300 0.1413
1377 6.288 -2.568 0.049 -0.501 0.457 0.2934
1378 5.848 -3.001 0.104 -0.697 0.109 0.1045
1379 6.222 -2.874 0.207 -0.901 0.609 0.2386
138 6.005 -2.926 0.116 -1.109 1.998 0.6098
1380 6.173 -3.214 0.131 -0.453 1.462 0.7568
1381 6.188 -2.743 0.084 -1.191 0.867 0.2439
1382 6.490 -1.935 -0.240 -0.774 0.201 0.1710
1383 6.043 -2.508 -0.020 -1.195 0.219 0.0539
1384 6.195 -2.993 0.156 -0.500 0.396 0.3367
1385 6.730 -2.795 -0.257 -0.685 0.288 0.1862
1386 6.401 -2.410 0.035 -1.342 2.169 0.6008
1387 7.138 -3.383 -0.078 -0.273 0.385 0.3483
1388 6.802 -1.803 0.025 -0.974 0.953 0.2919
1389 7.048 -1.281 -0.357 -0.858 1.586 0.5535
139 6.121 -3.232 0.203 -0.763 1.501 0.5228
1390 7.649 -3.001 0.440 0.337 1.347 0.8536
1391 7.763 -2.997 0.449 0.364 1.575 0.9458
1392 7.437 -2.120 -0.330 -0.524 1.194 0.4659
1393 7.356 -0.954 -0.553 -0.874 1.347 0.4624
1394 7.899 -2.952 0.051 -0.012 1.054 0.7324
1395 7.903 -2.706 0.017 -0.078 0.710 0.5898
1396 8.179 -2.911 0.017 -0.074 2.241 1.0536
1397 8.326 -1.828 0.448 0.322 1.307 0.8627
1398 8.353 -2.473 0.054 -0.004 1.334 0.8055
1399 8.349 -1.082 -0.519 -0.651 1.826 0.6242
14 6.052 -3.455 -0.049 -0.408 0.058 0.1915
140 6.012 -2.796 0.073 -0.927 0.635 0.2484
1400 8.659 -2.227 0.059 -0.006 1.088 0.7319
1401 8.907 -2.221 0.134 0.030 1.173 0.7684
1402 9.210 -2.840 0.474 0.450 1.067 0.9835
1403 8.969 -1.863 -0.477 -0.528 2.309 0.7635
1404 8.763 -1.466 -0.396 -0.530 1.950 0.6705
1405 8.624 -1.004 0.362 0.030 1.082 0.6203
1406 8.580 -2.791 0.472 0.416 0.837 0.8478
1407 8.363 -2.663 0.077 0.009 1.802 0.9297
1408 8.259 -2.810 0.465 0.428 0.500 0.8021
1409 8.093 -2.463 0.427 0.339 0.529 0.6626
141 6.204 -2.534 -0.016 -0.898 2.269 0.6436
1410 7.757 -1.430 -0.399 -0.612 1.651 0.5789
1411 7.558 -1.149 -0.449 -0.746 1.366 0.4871
1412 8.002 -2.924 0.442 0.381 2.105 1.1597
